,id,date
0,85632,10/4/2024
1,82589,10/4/2024
2,43933,10/4/2024
3,12111,10/4/2024
4,81555,10/4/2024
5,54253,10/4/2024
6,64497,10/4/2024
7,12111,10/4/2024
8,81555,10/4/2024
9,43933,10/4/2024
10,94258,10/4/2024
12,55988,10/4/2024
13,54253,10/4/2024
15,94258,10/4/2024
16,43933,10/4/2024
17,94258,10/4/2024
18,81555,10/4/2024
19,54253,10/4/2024
20,81555,10/4/2024
23,72378,10/4/2024
24,58376,10/4/2024
25,41459,10/4/2024
26,55789,10/4/2024
28,24648,10/4/2024
29,24457,10/4/2024
38,13823,10/16/2024
39,66678,10/16/2024
40,52978,10/16/2024
41,65458,10/16/2024
42,68497,10/16/2024
43,43268,10/16/2024
44,52978,10/16/2024
45,52978,10/16/2024
46,91459,10/16/2024
47,13477,10/16/2024
48,12316,10/16/2024
49,15273,10/16/2024
50,42567,10/16/2024
52,42567,10/16/2024
53,42567,10/16/2024
54,42567,10/16/2024
56,61152,10/16/2024
57,28651,10/16/2024
58,39316,10/16/2024
59,48196,10/16/2024
60,36577,10/16/2024
61,28651,10/16/2024
62,28651,10/16/2024
