id,q1a,q1b,q2a,q2b,q2c,q3,q4a,q4b,q4c,total
12111,0,0,1,1,0,4,1,1,1,9
12316,0,1,1,1,1,4,0,0,0,8
13477,0,0,1,1,0,4,1,1,0,8
13823,1,1,1,1,1,4,1,1,0,11
15273,1,1,1,1,1,4,1,1,0,11
24457,0,0,1,1,0,2,1,1,0,6
24648,0,1,1,0,1,4,1,0,0,8
28651,0,0,1,0,1,4,1,0,1,8
36577,1,0,1,1,1,4,1,1,1,11
39316,1,0,1,0,1,4,1,1,1,10
41459,1,1,1,0,0,4,1,1,1,10
42567,1,1,1,1,1,4,1,1,1,12
43268,1,1,1,1,1,4,1,1,1,12
43933,1,1,0,0,1,4,1,1,1,10
48196,1,1,1,1,1,4,1,1,1,12
52978,0,0,1,1,1,4,0,0,0,7
54253,0,0,1,1,1,4,1,1,0,9
55789,1,0,0,0,1,4,1,1,0,8
55988,1,0,1,1,1,4,1,1,1,11
58376,1,1,1,1,1,4,1,1,0,11
61152,1,1,1,1,1,4,1,1,1,12
64497,1,0,1,1,1,4,1,1,0,10
65458,1,1,1,1,1,4,1,1,0,11
66678,0,1,1,1,1,4,1,1,0,10
68497,0,1,1,1,1,4,0,1,0,9
72378,1,0,1,1,0,4,1,1,0,9
81555,0,0,1,1,1,4,1,1,0,9
82589,0,1,1,1,1,0,1,1,0,6
85632,1,1,1,1,1,4,1,0,0,10
91459,1,1,1,1,1,4,0,1,1,11
94258,1,0,1,1,1,4,1,1,1,11
