,id,level,points,diff,type,depth,unknown,mistakes,time,date
0,64497,1,2.0,1.0,0,0,0,1,85.4748,10/4/2024
2,85632,1,4.0,1.0,0,0,0,0,61.6064,10/4/2024
4,55988,1,4.0,1.0,0,0,0,0,70.7775,10/4/2024
5,64497,2,3.22475,1.5,0,1,0,2,59.0482,10/4/2024
6,85632,2,9.65685,2.0,0,2,0,0,27.114,10/4/2024
8,12111,1,2.0,1.0,0,0,0,1,127.81,10/4/2024
10,64497,3,8.12372,1.5,0,1,0,0,19.4206,10/4/2024
11,82589,1,2.0,1.0,0,0,0,1,99.892,10/4/2024
13,55988,2,6.82843,2.0,0,2,0,1,47.8009,10/4/2024
14,64497,4,14.4483,2.5,0,3,0,0,25.4064,10/4/2024
15,94258,1,4.0,1.0,0,0,0,0,69.9732,10/4/2024
16,12111,2,6.89898,1.5,0,1,0,0,15.2529,10/4/2024
18,81555,1,4.0,1.0,0,0,0,0,61.766,10/4/2024
19,43933,1,4.0,1.0,0,0,0,0,85.6654,10/4/2024
20,55988,3,13.7566,3.0,0,1,1,0,19.3567,10/4/2024
21,12111,3,13.2235,2.5,0,3,0,0,7.22702,10/4/2024
22,81555,2,9.65685,2.0,0,2,0,0,31.1544,10/4/2024
23,82589,2,6.89898,1.5,0,1,0,0,34.5826,10/4/2024
24,55988,4,22.7009,5.0,0,2,2,0,27.6942,10/4/2024
25,43933,2,9.65685,2.0,0,2,0,0,40.558,10/4/2024
26,85632,3,17.1402,3.5,0,2,1,0,99.9199,10/4/2024
27,81555,3,17.1402,3.5,0,2,1,0,37.0027,10/4/2024
28,64497,5,12.4483,4.0,1,0,0,3,68.012,10/4/2024
29,54253,1,4.0,1.0,0,0,0,0,69.2157,10/4/2024
30,64497,6,19.3765,3.0,0,1,1,0,5.65656,10/4/2024
31,64497,7,28.3208,5.0,0,2,2,0,4.21841,10/4/2024
32,82589,3,13.2235,2.5,0,3,0,0,58.2361,10/4/2024
33,94258,2,9.65685,2.0,0,2,0,0,54.596,10/4/2024
34,43933,3,17.1402,3.5,0,2,1,0,74.0282,10/4/2024
35,82589,4,21.2235,4.0,0,3,1,0,12.2961,10/4/2024
36,94258,3,17.1402,3.5,0,2,1,0,19.9283,10/4/2024
37,54253,2,9.65685,2.0,0,2,0,0,41.2102,10/4/2024
38,12111,4,15.2235,4.0,1,0,0,2,40.7742,10/4/2024
39,85632,4,15.1402,6.0,1,1,1,3,84.7065,10/4/2024
40,54253,3,17.1402,3.5,0,2,1,0,22.0804,10/4/2024
41,85632,5,23.6255,4.5,1,1,0,0,29.1728,10/4/2024
42,64497,8,26.3208,8.0,1,2,2,3,96.9384,10/4/2024
45,81555,4,15.1402,6.0,1,1,1,3,108.144,10/4/2024
48,81555,5,19.3828,4.5,1,1,0,1,55.6035,10/4/2024
49,12111,5,13.2235,4.5,1,1,0,3,47.5074,10/4/2024
50,43933,4,15.1402,6.0,1,1,1,3,162.84,10/4/2024
51,64497,9,28.7702,6.0,1,1,1,2,114.677,10/4/2024
54,12111,6,20.7069,3.5,0,2,1,0,7.16257,10/4/2024
55,85632,6,21.6255,8.0,2,0,0,3,89.3947,10/4/2024
56,82589,5,19.2235,6.5,1,2,1,3,135.325,10/4/2024
57,64497,10,39.3532,7.0,1,3,1,0,10.1215,10/4/2024
59,94258,4,22.0392,6.0,1,1,1,1,134.137,10/4/2024
60,12111,7,30.5048,6.0,1,1,1,0,17.9611,10/4/2024
61,82589,6,23.6957,5.0,0,2,2,1,14.1966,10/4/2024
62,85632,7,31.4234,6.0,1,1,1,0,52.5198,10/4/2024
64,54253,4,15.1402,6.0,1,1,1,3,99.0504,10/4/2024
65,81555,6,17.3828,6.5,1,2,1,3,73.8903,10/4/2024
66,12111,8,28.5048,10.0,2,1,1,3,23.4651,10/4/2024
67,81555,7,26.3271,5.0,0,2,2,0,21.7444,10/4/2024
68,94258,5,33.701,8.5,1,3,2,0,46.2897,10/4/2024
69,81555,8,37.6408,8.0,1,2,2,0,20.2212,10/4/2024
70,55988,5,34.0146,8.0,1,2,2,0,357.337,10/4/2024
71,54253,5,19.3828,4.5,1,1,0,1,57.5328,10/4/2024
72,54253,6,29.5809,6.5,1,2,1,0,20.7931,10/4/2024
73,85632,8,29.4234,10.0,2,1,1,3,94.0714,10/4/2024
74,94258,6,31.701,14.0,2,3,3,3,94.5341,10/4/2024
75,12111,9,26.5048,8.0,2,0,0,3,59.4439,10/4/2024
76,81555,9,35.6408,14.0,2,3,3,3,61.8732,10/4/2024
77,12111,10,36.3028,6.0,1,1,1,0,6.34744,10/4/2024
78,43933,5,17.2615,4.5,1,1,0,2,225.315,10/4/2024
79,43933,6,26.2058,5.0,1,2,0,0,23.7114,10/4/2024
80,94258,7,38.3343,11.0,2,3,1,1,79.2847,10/4/2024
81,43933,7,37.5195,8.0,1,2,2,0,34.6669,10/4/2024
82,94258,8,53.3009,14.0,2,3,3,0,28.3794,10/4/2024
83,72378,1,4.0,1.0,0,0,0,0,51.2726,10/4/2024
84,55789,1,4.0,1.0,0,0,0,0,65.1183,10/4/2024
86,55789,2,9.65685,2.0,0,2,0,0,27.4968,10/4/2024
87,41459,1,2.0,1.0,0,0,0,1,105.531,10/4/2024
88,55789,3,17.1402,3.5,0,2,1,0,19.2134,10/4/2024
91,58376,1,2.0,1.0,0,0,0,1,112.01,10/4/2024
92,41459,2,6.89898,1.5,0,1,0,0,39.68,10/4/2024
94,55789,4,26.9381,6.0,1,1,1,0,37.7164,10/4/2024
95,58376,2,4.44949,1.5,0,1,0,1,28.3819,10/4/2024
98,58376,3,10.774,2.5,0,3,0,0,18.8719,10/4/2024
99,41459,3,13.2235,2.5,0,3,0,0,61.6062,10/4/2024
100,55789,5,33.2627,10.0,2,1,1,1,50.7163,10/4/2024
101,58376,4,18.774,4.0,0,3,1,0,14.807,10/4/2024
102,55789,6,48.2293,14.0,2,3,3,0,17.6367,10/4/2024
103,72378,2,5.41421,2.0,0,2,0,2,142.198,10/4/2024
105,41459,4,17.2235,4.0,1,0,0,1,69.9424,10/4/2024
106,58376,5,16.774,6.5,1,2,1,3,58.0512,10/4/2024
107,72378,3,8.24264,2.0,0,2,0,1,45.7799,10/4/2024
108,72378,4,15.1708,3.0,0,1,1,0,15.0229,10/4/2024
109,41459,5,27.0215,6.0,1,1,1,0,36.7452,10/4/2024
110,72378,5,24.1151,5.0,0,2,2,0,21.0156,10/4/2024
111,41459,6,39.6706,10.0,1,3,3,0,48.9495,10/4/2024
113,58376,6,14.774,5.0,1,2,0,3,82.4785,10/4/2024
115,58376,7,12.774,4.0,1,0,0,3,56.2254,10/4/2024
116,72378,6,22.1151,8.0,1,2,2,3,65.1581,10/4/2024
117,24648,1,2.0,1.0,0,0,0,1,220.921,10/4/2024
118,24457,1,4.0,1.0,0,0,0,0,109.038,10/4/2024
119,24648,2,0.0,1.5,0,1,0,3,81.0517,10/4/2024
120,24648,3,4.0,1.0,0,0,0,0,37.5168,10/4/2024
121,24457,2,6.82843,2.0,0,2,0,1,118.206,10/4/2024
122,24457,3,13.7566,3.0,0,1,1,0,42.7536,10/4/2024
123,24648,4,5.41421,2.0,0,2,0,2,89.6519,10/4/2024
124,24648,5,11.0711,2.0,0,2,0,0,22.1584,10/4/2024
125,24648,6,18.5544,3.5,0,2,1,0,15.3931,10/4/2024
126,24457,4,22.7009,5.0,1,2,0,0,78.6886,10/4/2024
127,13823,1,4.0,1.0,0,0,0,0,42.5893,10/16/2024
128,66678,1,4.0,1.0,0,0,0,0,42.3126,10/16/2024
129,13823,2,9.65685,2.0,0,2,0,0,32.2213,10/16/2024
130,66678,2,9.65685,2.0,0,2,0,0,10.3469,10/16/2024
131,66678,3,17.1402,3.5,0,2,1,0,7.69353,10/16/2024
132,13823,3,17.1402,3.5,0,2,1,0,31.028,10/16/2024
133,13823,4,26.9381,6.0,1,1,1,0,93.7432,10/16/2024
134,13823,5,33.2627,10.0,2,1,1,1,108.052,10/16/2024
135,13823,6,48.2293,14.0,2,3,3,0,91.7028,10/16/2024
136,66678,4,15.1402,6.0,1,1,1,3,223.667,10/16/2024
137,66678,5,13.1402,4.5,1,1,0,3,93.399,10/16/2024
138,66678,6,20.6235,3.5,0,2,1,0,12.1314,10/16/2024
139,65458,1,4.0,1.0,0,0,0,0,43.7231,10/16/2024
140,52978,1,4.0,1.0,0,0,0,0,46.6084,10/16/2024
141,68497,1,4.0,1.0,0,0,0,0,79.5529,10/16/2024
142,65458,2,9.65685,2.0,0,2,0,0,30.8491,10/16/2024
143,52978,2,9.65685,2.0,0,2,0,0,51.0088,10/16/2024
144,68497,2,9.65685,2.0,0,2,0,0,34.2173,10/16/2024
145,65458,3,17.1402,3.5,0,2,1,0,30.3699,10/16/2024
146,52978,3,17.1402,3.5,0,2,1,0,25.9795,10/16/2024
147,43268,1,4.0,1.0,0,0,0,0,91.2305,10/16/2024
148,68497,3,17.1402,3.5,0,2,1,0,13.1202,10/16/2024
149,43268,2,9.65685,2.0,0,2,0,0,122.313,10/16/2024
150,52978,4,19.5897,6.0,1,1,1,2,97.2714,10/16/2024
151,68497,4,22.0392,6.0,1,1,1,1,61.9188,10/16/2024
152,43268,3,17.1402,3.5,0,2,1,0,16.0878,10/16/2024
153,52978,5,30.1727,7.0,1,3,1,0,12.1373,10/16/2024
154,52978,6,44.0291,12.0,2,2,2,0,44.2598,10/16/2024
155,52978,7,58.9957,14.0,2,3,3,0,9.73273,10/16/2024
156,68497,5,20.0392,8.5,2,1,0,3,79.7039,10/16/2024
157,43268,4,19.5897,6.0,1,1,1,2,89.9139,10/16/2024
158,52978,7,58.9957,14.0,2,3,3,0,15.7703,10/16/2024
159,43268,5,30.1727,7.0,1,3,1,0,10.3648,10/16/2024
160,65458,4,15.1402,6.0,1,1,1,3,224.489,10/16/2024
161,43268,6,44.0291,12.0,2,2,2,0,7.33856,10/16/2024
162,52978,7,42.0291,14.0,2,3,3,3,32.8739,10/16/2024
163,43268,7,58.9957,14.0,2,3,3,0,10.9018,10/16/2024
164,68497,6,18.0392,6.5,1,2,1,3,120.179,10/16/2024
165,68497,7,26.9834,5.0,1,2,0,0,34.7126,10/16/2024
166,65458,5,13.1402,4.5,1,1,0,3,137.83,10/16/2024
167,65458,6,20.6235,3.5,0,2,1,0,16.6731,10/16/2024
168,68497,8,38.2971,8.0,2,0,0,0,36.8373,10/16/2024
169,91459,1,4.0,1.0,0,0,0,0,26.0859,10/16/2024
170,91459,2,9.65685,2.0,0,2,0,0,16.2544,10/16/2024
171,15273,1,4.0,1.0,0,0,0,0,60.1873,10/16/2024
172,91459,3,17.1402,3.5,0,2,1,0,18.9236,10/16/2024
173,13477,1,4.0,1.0,0,0,0,0,62.6553,10/16/2024
174,15273,2,9.65685,2.0,0,2,0,0,26.0836,10/16/2024
175,13477,2,9.65685,2.0,0,2,0,0,24.8437,10/16/2024
176,15273,3,17.1402,3.5,0,2,1,0,29.4457,10/16/2024
177,12316,1,1.0,1.0,0,0,0,2,123.452,10/16/2024
178,13477,3,17.1402,3.5,0,2,1,0,24.7332,10/16/2024
179,12316,2,5.0,1.0,0,0,0,0,23.1311,10/16/2024
180,91459,4,22.0392,6.0,1,1,1,1,76.9879,10/16/2024
181,12316,3,10.6568,2.0,0,2,0,0,29.0424,10/16/2024
182,91459,5,33.701,8.5,1,3,2,0,20.486,10/16/2024
183,91459,6,48.6677,14.0,2,3,3,0,11.4155,10/16/2024
184,12316,4,18.1402,3.5,0,2,1,0,19.4477,10/16/2024
185,15273,4,22.0392,6.0,1,1,1,1,82.9794,10/16/2024
186,12316,5,20.5897,6.0,1,1,1,2,93.345,10/16/2024
187,15273,5,20.0392,8.5,2,1,0,3,85.4033,10/16/2024
188,12316,6,31.1727,7.0,1,3,1,0,34.9592,10/16/2024
