id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,nav_sum,org_sum,loc_sum,op_sum,con_sum,goal_sum,inc_sum,q22,q23,q24
12111,4,3,4,4,5,5,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,11,14,12,10,12,9,12,Hints could help the user if they are in need of help. Different characters to make the game more customizable.,Mos the it was just not understanding the goal and being confused.,N/A
12316,3,3,4,4,4,4,3,4,4,4,4,5,5,5,5,4,4,3,4,4,3,10,12,11,13,15,11,11,Add more in depth guides or maybe a example before puttling the player into the problem.,The tutorial was hard because there was really no guide.,Just go more in depth on how to solve the puzzles.
13477,4,4,3,5,3,2,5,4,5,3,4,4,3,3,2,3,4,4,5,2,3,11,10,14,11,8,11,10,,That creating new files was hard not able to understand.,
13823,4,4,4,5,5,4,4,4,5,5,4,4,5,5,5,4,4,3,5,5,4,12,14,13,13,15,11,14,I felt engaged I don't see how the game could be more engaging. If I had to say something thought probably like add some kind of different solution for levels.,One of the difficulties I had was figuring out how to move files into another folder.,I'd say have the game give subtle hints or something similar to that so it's more helpful but doesn't just straight up give an answer.
15273,4,4,3,5,4,3,5,5,5,4,3,3,5,5,5,4,4,3,4,5,4,11,12,15,10,15,11,13,In my opinion I feel that this game doesn't need anything for it to be more engaging.,I was a bit confused on the last level on how to add a folder.,I think it could use a set of instructions on how to add a folder.
24457,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,10,12,11,12,12,12,12,I think if there was more color or two different games to choose from.,I think not enough instructions on what not to press.,I think the file system is pretty good.
24648,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,If you get it wrong 3 times you can get help from something or it gives you a clue.,The names of the files.,Better labeling.
28651,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,12,12,14,13,12,12,12,Text to speech so I don't have to read.,Fileing,A tutorial at the start.
36577,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,9,9,9,12,15,15,15,None,I did not have much difficulty in the game.,I think you should make them create new files or rename them.
39316,2,2,3,4,4,4,4,4,4,3,3,3,2,2,1,2,2,3,3,2,2,7,12,12,9,5,7,7,Maybe explaining the controls or an opiton to see what things to click for those who don't know computers that well.,I didn't understand how to change a file other than the name and didn't understand how to enter anything either.,I would try ot figure out how to show basics or the controls for people like me that don't use computers much.
41459,4,4,4,4,4,4,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,12,12,15,11,12,12,12,Adding a way to pick our character.,The last level wasn't explained well enough for me.,Describe last level more clearly.
42567,3,3,3,3,3,3,3,3,3,3,3,3,4,5,4,3,3,4,5,3,5,9,9,9,9,13,10,13,"Add rewards, maybe, or more praise for completing. People, especially kids, love hearing that they are right, and love receiving things (even if it doesn't help the gameplay experience).",The explanation of how and where to add files to create bridges was lacking. The minimal explanation negatively impacted the game.,"Add explanations, similar to the tutorial, only not as in depth."
43268,3,3,3,4,3,4,4,4,4,5,4,4,4,5,4,3,2,3,3,3,3,9,11,12,13,13,8,9,It could have been not as repetative towards the end.,Figuring out how to move a file.,Add a little bit more detail in the dialogue.
43933,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,12,12,12,12,11,12,12,Maybe you could maybe explain a little more in the instructions.,I did not understand how to make the river appear.,Maybe you could just explaine a little more about how to delete or add a file.
48196,4,3,3,4,3,4,4,4,5,4,3,5,4,2,4,4,3,4,2,2,3,10,11,13,12,10,11,7,Adding more areas where platforming is needed.,That we are meant to delete the files.,Stating its okay to delete the files when needed.
52978,5,5,5,4,4,3,5,5,5,3,3,4,5,5,5,5,5,4,5,5,4,15,11,15,10,15,14,14,You have to organize the files.,It was an easy game to understand.,I had no problem with the communication.
54253,5,5,4,5,5,4,4,4,4,5,4,5,3,4,2,2,4,3,4,4,3,14,14,12,14,9,9,11,I think that maybe it could be explained a little bit more but otherwise it was fun to play and easy to read.,I just think there were a lot of steps to follow sometimes.,I think it's an amazing game and very educational. Over all I don't think anything needs to be changed.
55789,5,4,4,4,4,4,5,4,5,4,5,5,5,5,4,3,5,5,4,5,5,13,12,14,14,14,13,14,Maybe different types of files a little bit better graphics.,I didn't have any difficulties.,Nothing.
55988,5,5,5,5,4,4,5,5,5,4,4,4,5,4,4,5,4,4,4,3,4,15,13,15,12,13,13,11,Each level something different instead of somewhat the same. Maybe more locations.,Directions,Directions need to be more clear and availability for help.
58376,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,11,12,12,12,12,9,12,It would be more engaging if there was a different character instead of the spider thing.,The platform was hard to find.,It was well-explained
61152,3,3,4,4,3,4,3,4,4,4,4,4,5,5,5,3,4,4,4,3,5,10,11,11,12,15,11,12,Different and more readable fonts would help.,"I thought I copied a file when I didn't, that was on me though.",Specify that you have to press something to apply your changes to the game. (Unless I didn't read that part)
64497,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,12,12,12,12,10,10,9,You could add sound effects and be able to explore.,I didn't understand the bridge part but I figured it out.,I think the file system was fine and don't know what else you could have done.
65458,4,4,3,3,2,4,4,4,4,3,3,3,4,4,2,2,3,2,4,3,2,11,9,12,9,10,7,9,,,
66678,3,4,4,3,4,4,4,4,4,3,3,3,3,4,3,3,4,3,4,4,4,11,11,12,9,10,10,12,If the game had a little more detail.,How to tmake item be brought to the game from files.,If the game had a little bit more detail on the objective.
68497,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,11,9,12,12,12,12,12,It was really good.,I would do what it told me and I would get it wrong.,It was a good game.
72378,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,15,15,15,15,12,12,12,Maybe the writing could be in an easier to read font.,"The ""s"" wasn't working. I had a hard time remembering the files in order.",You could make the order of the files stay even when I opened the files.
81555,3,4,4,3,3,4,5,3,4,4,3,4,3,4,4,2,2,3,4,3,5,11,10,12,11,11,7,12,It could show you how to do something before just for the first few times.,I couldn't get anything to work and it glitched a few times.,
82589,5,5,4,4,4,4,3,4,4,4,5,4,4,4,4,3,3,3,3,4,4,14,12,11,13,12,9,11,There could be animations in the background.,I don't know how to run a file I created.,Give candy as a finishing reward.
85632,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,11,12,11,12,12,10,12,Maybe use a little more color.,I had trouble understanding where to put some of the files.,
91459,5,5,5,5,4,4,4,4,4,4,3,4,5,5,5,4,5,5,4,4,4,15,13,12,11,15,14,12,I feel like the game could have been more engaging if it had a little bit of platforming during the levels.,At one point I didn't realize that I had to create a file with a specific name but I overcame this by copy pasting the file from the storage folder in each puzzle to the proper location.,
94258,4,5,5,5,5,5,4,4,4,4,5,5,3,4,5,5,5,5,5,4,5,14,15,12,14,12,15,14,A cool transition when the log and the scaffolding comes in it like doesn't just appear it builds itself.,,
