id,q1,q2,q3,q4,q5,q6,q7,q8
12111,7,M,2-5,0-2,2-5,2-3,Math,1
12316,9,M,15-30,2-5,5-15,4-5,Typing,1
13477,9,M,2-5,0-2,5-15,4-5,Math,1
13823,10,M,5-15,5-15,5-15,2-3,Math,0
15273,9,M,2-5,2-5,2-5,2-3,Math,1
24457,7,F,2-5,2-5,0-2,2-3,English,1
24648,7,F,5-15,2-5,5-15,0-1,Gim kit,1
28651,9,M,0-2,0-2,0-2,0-1,ESports,1
36577,9,M,5-15,2-5,5-15,2-3,N/A,1
39316,11,F,2-5,0-2,0-2,2-3,English,1
41459,7,F,5-15,2-5,2-5,4-5,Math,1
42567,8,P,15-30,2-5,2-5,0-1,None,1
43268,12,M,5-15,5-15,30+,0-1,Math,1
43933,7,F,30+,30+,-,-,-,-
48196,10,M,30+,5-15,30+,6+,Math,1
52978,9,M,5-15,5-15,5-15,4-5,History,1
54253,7,F,2-5,2-5,5-15,6+,TechApps,0
55789,7,M,5-15,5-15,0-2,2-3,Math,1
55988,7,F,2-5,2-5,2-5,0-1,Spanish,1
58376,7,F,5-15,5-15,5-15,2-3,"TechApps, Coding",1
61152,9,F,30+,15-30,15-30,6+,Typing,1
64497,7,M,30+,0-2,30+,4-5,Math,1
65458,12,F,2-5,2-5,5-15,2-3,English,1
66678,9,M,2-5,2-5,2-5,0-1,None,1
68497,12,M,2-5,2-5,0-2,0-1,None,1
72378,7,M,0-2,0-2,0-2,6+,Math,1
81555,7,F,15-30,5-15,0-2,0-1,None,1
82589,7,M,15-30,0-2,5-15,0-1,None,1
85632,7,F,5-15,2-5,0-2,2-3,English,0
91459,-,P,30+,5-15,15-30,6+,-,1
94258,7,M,5-15,2-5,5-15,4-5,"Maps, History",1
