id,engagement_notes,trouble_notes,improvement_notes
12111,Characters,"Confusion, Goal",Hints
12316,Guide,Not enough instruction,Detailed instruction
13477,Did not answer,Creating files,Did not answer
13823,Different solutions,Moving files,Hints
15273,None,Creating files,Detailed instruction
24457,"Visuals, Other games",Pressing wrong things,None
24648,Did not answer,File names,Better names
28651,Text to speech,File system,Integrated tutorial
36577,None,None,More challenge types
39316,Guide,File system,Control display
41459,Characters,Not enough instruction,Detailed instruction
42567,Rewards,Not enough instruction,Detailed instruction
43268,Variation,Moving files,Detailed instruction
43933,Did not answer,Creating files,Detailed instruction
48196,Platforming,Deleting files,Detailed instruction
52978,Variation,None,None
54253,Did not answer,Complicated,None
55789,"Variation, Visuals",None,None
55988,Variation,Not enough instruction,"Detailed instruction, Hints"
58376,Characters,Moving files,None
61152,Font,Moving files,Detailed instruction
64497,"Sound, Exploration",Creating files,None
65458,Did not answer,Did not answer,Did not answer
66678,Visuals,Not enough instruction,Detailed instruction
68497,None,"Confusion, Not enough instruction",None
72378,Font,File system,Easier navigation
81555,Did not answer,Bugs,Integrated tutorial
82589,"Animations, Rewards","Confusion, Not enough instruction",
85632,Visuals,Creating files,Did not answer
91459,Platforming,Creating files,Did not answer
94258,Animations,Did not answer,Did not answer
