id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,nav_sum,org_sum,loc_sum,op_sum,con_sum,goal_sum,inc_sum,total,q22,q23,q24
12111,1,0,1,1,2,2,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,2,5,3,1,3,0,3,17,Hints could help the user if they are in need of help. Different characters to make the game more customizable.,Mos the it was just not understanding the goal and being confused.,N/A
12316,0,0,1,1,1,1,0,1,1,1,1,2,2,2,2,1,1,0,1,1,0,1,3,2,4,6,2,2,20,Add more in depth guides or maybe a example before puttling the player into the problem.,The tutorial was hard because there was really no guide.,Just go more in depth on how to solve the puzzles.
13477,1,1,0,2,0,-1,2,1,2,0,1,1,0,0,-1,0,1,1,2,-1,0,2,1,5,2,-1,2,1,12,,That creating new files was hard not able to understand.,
13823,1,1,1,2,2,1,1,1,2,2,1,1,2,2,2,1,1,0,2,2,1,3,5,4,4,6,2,5,29,I felt engaged I don't see how the game could be more engaging. If I had to say something thought probably like add some kind of different solution for levels.,One of the difficulties I had was figuring out how to move files into another folder.,I'd say have the game give subtle hints or something similar to that so it's more helpful but doesn't just straight up give an answer.
15273,1,1,0,2,1,0,2,2,2,1,0,0,2,2,2,1,1,0,1,2,1,2,3,6,1,6,2,4,24,In my opinion I feel that this game doesn't need anything for it to be more engaging.,I was a bit confused on the last level on how to add a folder.,I think it could use a set of instructions on how to add a folder.
24457,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,3,18,I think if there was more color or two different games to choose from.,I think not enough instructions on what not to press.,I think the file system is pretty good.
24648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,If you get it wrong 3 times you can get help from something or it gives you a clue.,The names of the files.,Better labeling.
28651,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,5,4,3,3,3,24,Text to speech so I don't have to read.,Fileing,A tutorial at the start.
36577,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,0,0,0,3,6,6,6,21,None,I did not have much difficulty in the game.,I think you should make them create new files or rename them.
39316,-1,-1,0,1,1,1,1,1,1,0,0,0,-1,-1,-2,-1,-1,0,0,-1,-1,-2,3,3,0,-4,-2,-2,-4,Maybe explaining the controls or an opiton to see what things to click for those who don't know computers that well.,I didn't understand how to change a file other than the name and didn't understand how to enter anything either.,I would try ot figure out how to show basics or the controls for people like me that don't use computers much.
